Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
206,Frogadier,,657,♂,872,94,4,14,14,71.1,20.0,20.0,,,,"2023-05-07 3:30 pm","2023-05-07 3:30 pm",17/3/2023,,,0,0,0,2500,96.39%,149,97.94%,196000,206,Frogadier,,0,98.56%,60,99.08%,215000,333,Greninja,,0,,,,,,,,,
207,Frogadier,,657,♂,1140,106,0,15,10,55.6,27.0,27.0,,,,"2023-05-07 3:26 pm","2023-05-07 3:26 pm",2/4/2023,,,0,0,0,4500,99.34%,28,98.96%,198000,206,Frogadier,,0,95.63%,180,98.53%,198000,306,Greninja,,0,,,,,,,,,
208,Fletchinder,,662,♂,811,102,12,12,14,84.4,20.0,20.0,,,,"2023-05-07 3:12 pm","2023-05-07 3:12 pm",7/5/2023,,,0,0,0,2500,21.76%,3205,93.69%,24000,122,Talonflame,,0,97.88%,88,96.69%,475000,348,Talonflame,,0,,,,,,,,,
209,Shinx,,403,♂,172,51,2,13,10,55.6,8.0,8.0,Spark,Frustration,,"2023-05-07 2:40 pm","2023-05-07 2:40 pm",16/4/2023,,,0,1,0,961,97.85%,89,98.01%,43330,188,Luxray,,1,97.48%,104,98.51%,210738,359,Luxray,,1,90.60%,386,95.83%,63133,84,Shinx,,1,
210,Charmander,,4,♂,196,44,9,12,1,48.9,8.0,8.0,,,,"2023-05-07 2:32 pm","2023-05-07 2:32 pm",7/5/2023,,,0,1,0,961,41.15%,2411,94.64%,304338,385,Charmeleon,,1,18.34%,3345,94.63%,202338,349,Charizard,Normal,1,62.08%,1554,93.04%,46330,66,Charmander,,1,
211,Ducklett,,580,♀,10,15,9,15,3,60.0,1.0,1.0,,,,"2023-05-04 8:39 pm","2023-05-04 8:39 pm",2/5/2023,,,0,0,0,200,51.77%,1976,94.91%,88000,144,Swanna,,0,76.46%,965,91.04%,520000,354,Swanna,,0,68.86%,1276,93.69%,59000,69,Ducklett,,0,
212,Lanturn,,171,♀,1161,167,12,14,13,86.7,20.0,20.0,,,,"2023-05-01 6:44 pm","2023-03-20 8:42 pm",29/11/2022,,,0,0,0,2500,40.66%,2431,94.23%,35000,31,Lanturn,,0,98.49%,63,97.08%,475000,248,Lanturn,,0,,,,,,,,,
213,Lanturn,,171,♀,1482,188,14,11,12,82.2,25.5,25.5,,,,"2023-05-01 6:43 pm","2023-05-01 6:43 pm",2/3/2023,,,0,0,0,4000,19.56%,3295,93.03%,0,0,Lanturn,,0,96.51%,144,95.95%,440000,217,Lanturn,,0,,,,,,,,,
214,Azumarill,,184,♂,1192,166,6,13,6,55.6,29.0,29.0,,,,"2023-05-01 6:41 pm","2023-05-01 6:41 pm",10/1/2023,,,0,0,0,5000,70.38%,1214,95.79%,224000,190,Azumarill,,0,62.78%,1525,88.60%,410000,190,Azumarill,,0,,,,,,,,,
215,Drowzee,,96,♀,585,105,7,7,14,62.2,22.0,22.0,,,,"2023-05-01 6:02 pm","2023-05-01 6:02 pm",13/4/2023,,,0,0,0,3000,85.76%,584,96.85%,36000,82,Hypno,,0,72.80%,1115,91.32%,464000,288,Hypno,,0,,,,,,,,,
216,Sableye,,302,♂,612,77,13,11,13,82.2,15.0,15.0,,,,"2023-05-01 6:01 pm","2023-03-21 2:23 pm",12/11/2022,,,0,0,0,1900,65.91%,1397,94.18%,322400,268,Sableye,Normal,0,97.07%,121,95.35%,496400,268,Sableye,Normal,0,,,,,,,,,
217,Trevenant,,709,♂,476,71,15,5,8,62.2,7.0,7.0,,,,"2023-05-01 6:01 pm","2023-05-01 6:01 pm",16/4/2023,,,0,0,0,800,38.02%,2539,94.35%,48200,51,Trevenant,,0,5.86%,3856,93.56%,296200,292,Trevenant,,0,12.31%,3592,87.05%,0,0,Trevenant,,0,
218,Shieldon,,410,♂,491,69,13,11,14,84.4,20.0,20.0,Iron Tail,Heavy Slam,,"2023-05-01 6:01 pm","2023-03-21 2:23 pm",4/3/2023,,,0,0,0,2500,41.76%,2386,93.05%,225000,298,Bastiodon,,0,,,,,,,,,,,,,,,,,G
219,Swoobat,,528,♀,1487,134,10,14,13,82.2,33.0,33.0,,,,"2023-05-01 5:42 pm","2023-05-01 5:42 pm",20/3/2023,,,0,0,0,7000,80.39%,804,97.01%,7000,8,Swoobat,,0,97.19%,116,95.80%,366000,150,Swoobat,,0,,,,,,,,,
220,Teddiursa,,216,♂,279,59,14,9,4,60.0,8.0,8.0,,,,"2023-05-01 5:41 pm","2023-05-01 5:41 pm",1/4/2023,,,0,0,0,800,43.25%,2325,94.12%,14000,168,Ursaluna,,0,31.99%,2786,94.74%,59100,211,Ursaluna,,0,36.29%,2610,92.03%,14000,18,Teddiursa,,0,
221,Tirtouga,,564,♂,842,94,15,12,15,93.3,20.0,20.0,Bite,Ancient Power,,"2023-05-01 5:41 pm","2023-03-21 2:25 pm",25/1/2023,,,0,0,0,2500,44.37%,2279,94.71%,0,50,Carracosta,,0,33.31%,2732,95.32%,169000,220,Carracosta,,0,,,,,,,,,
222,Tirtouga,,564,♂,828,93,13,13,13,86.7,20.0,20.0,,,,"2023-05-01 5:40 pm","2023-05-01 5:40 pm",13/4/2023,,,0,0,0,2500,19.32%,3305,93.42%,0,50,Carracosta,,0,56.73%,1773,96.27%,187000,244,Carracosta,,0,,,,,,,,,
223,Vileplume,,45,♀,1445,116,13,15,14,93.3,20.0,20.0,,,,"2023-05-01 4:31 pm","2023-05-01 4:31 pm",1/5/2023,,,0,0,0,2500,50.01%,2048,95.11%,2500,2,Vileplume,,0,72.70%,1119,96.64%,205000,218,Vileplume,,0,,,,,,,,,
224,Mankey,,56,♂,480,67,12,14,11,82.2,15.0,15.0,,,,"2023-05-01 1:29 pm","2023-05-01 1:29 pm",1/5/2023,,,0,0,0,1900,73.82%,1073,96.04%,41900,89,Primeape,,0,97.63%,98,98.35%,481400,318,Primeape,,0,68.16%,1305,93.63%,1900,2,Mankey,,0,
225,Popplio,,728,♂,621,90,11,14,14,86.7,20.0,20.0,,,,"2023-04-30 9:24 am","2023-04-30 8:15 am",29/4/2023,,,0,0,0,2500,68.72%,1282,95.97%,60500,79,Brionne,,0,36.19%,2614,95.32%,51500,171,Primarina,,0,,,,,,,,,
226,Togekiss,,468,♂,1555,116,0,9,7,35.6,18.0,18.0,,,,"2023-04-30 9:07 am","2023-04-30 9:07 am",15/4/2023,,,0,0,0,2200,,,,,,,,,74.02%,1065,96.51%,69900,62,Togekiss,,0,,,,,,,,,
227,Togekiss,,468,♂,1401,110,12,12,15,86.7,15.0,15.0,,,,"2023-04-30 9:07 am","2023-04-30 9:07 am",15/4/2023,,,0,0,0,1900,82.22%,729,96.57%,3800,4,Togekiss,,0,56.19%,1795,95.78%,64400,58,Togekiss,,0,,,,,,,,,
228,Togekiss,,468,♂,2152,135,12,14,14,88.9,23.0,23.0,Air Slash,Ancient Power,,"2023-04-30 9:05 am","2023-04-30 9:05 am",15/4/2023,,,0,0,0,3500,,,,,,,,,60.44%,1621,95.95%,26000,22,Togekiss,,0,,,,,,,,,
229,Ferroseed,,597,♀,493,84,7,15,15,82.2,20.0,20.0,Tackle,Gyro Ball,,"2023-04-30 8:15 am","2023-04-30 8:15 am",2/1/2023,,,0,0,0,2500,84.47%,637,96.67%,20500,69,Ferrothorn,,0,95.29%,194,95.38%,225000,298,Ferrothorn,,0,69.47%,1251,94.12%,0,0,Ferroseed,,0,
230,Tentacruel,,73,♂,1524,121,14,15,0,64.4,23.0,23.0,,,,"2023-04-30 8:11 am","2023-04-30 8:11 am",29/4/2023,,,0,0,0,3500,,,,,,,,,78.85%,867,92.08%,208000,232,Tentacruel,,0,,,,,,,,,
231,Umbreon,,197,♂,1203,136,15,11,12,84.4,20.0,20.0,Snarl,Last Resort,Foul Play,"2023-04-29 8:32 pm","2023-04-29 8:32 pm",6/4/2023,,,0,0,0,600,5.47%,3872,91.43%,27500,25,Umbreon,,0,98.29%,71,96.91%,475000,248,Umbreon,,0,,,,,,,,,
232,Piloswine,,221,♀,1378,143,15,12,10,82.2,21.0,21.0,Powder Snow,Bulldoze,,"2023-04-29 4:46 pm","2023-04-29 4:46 pm",29/4/2023,,,0,0,0,3000,14.36%,3508,93.09%,9000,9,Piloswine,,0,31.45%,2808,94.69%,38000,134,Mamoswine,,0,,,,,,,,,
233,Kirlia,,281,♂,329,59,9,13,7,64.4,13.0,13.0,,,,"2023-04-29 4:35 pm","2023-04-29 4:35 pm",29/4/2023,,,0,1,0,1921,36.75%,2591,94.19%,19444,127,Gardevoir,Normal,1,40.44%,2440,95.69%,117368,223,Gardevoir,Normal,1,51.99%,1967,92.46%,30364,39,Kirlia,,1,
234,Mamoswine,,473,♂,1489,137,11,13,15,86.7,16.0,16.0,Powder Snow,Ancient Power,,"2023-04-29 4:04 pm","2023-04-29 4:04 pm",29/4/2023,,,0,0,0,1900,86.79%,542,97.09%,0,0,Mamoswine,,0,51.16%,2001,95.46%,60600,54,Mamoswine,,0,,,,,,,,,
235,Piloswine,,221,♀,994,121,15,15,10,88.9,15.0,15.0,,,,"2023-04-29 4:01 pm","2023-04-29 3:57 pm",29/4/2023,,,0,0,0,1900,49.01%,2089,94.95%,35400,33,Piloswine,,0,76.34%,970,96.49%,64400,158,Mamoswine,,0,,,,,,,,,
236,Piloswine,,221,♂,1405,144,15,7,5,60.0,22.0,22.0,,,,"2023-04-29 4:01 pm","2023-04-29 4:01 pm",29/4/2023,,,0,0,0,3000,1.27%,4044,91.37%,6000,6,Piloswine,,0,43.20%,2327,95.15%,40500,136,Mamoswine,,0,,,,,,,,,
237,Piloswine,,221,♂,1907,172,15,2,11,62.2,30.0,30.0,,,,"2023-04-29 4:00 pm","2023-04-29 4:00 pm",29/4/2023,,,0,0,0,5000,,,,,,,,,63.42%,1499,90.05%,150000,182,Piloswine,,0,,,,,,,,,
238,Swinub,,220,♀,50,29,10,15,2,60.0,3.0,3.0,,,,"2023-04-29 3:59 pm","2023-04-29 3:59 pm",29/4/2023,,,0,0,0,400,89.35%,437,97.30%,28500,163,Mamoswine,,0,76.97%,944,96.51%,95700,223,Mamoswine,,0,31.48%,2807,90.39%,79200,83,Swinub,,0,
239,Swinub,,220,♂,369,86,13,13,15,91.1,18.0,18.0,,,,"2023-04-29 3:59 pm","2023-04-29 3:59 pm",29/4/2023,,,0,0,0,2200,56.09%,1799,95.26%,23400,46,Piloswine,,0,69.96%,1231,96.20%,52400,171,Mamoswine,,0,39.00%,2499,91.06%,33400,30,Swinub,,0,
240,Swinub,,220,♀,406,87,14,13,9,80.0,20.0,20.0,,,,"2023-04-29 3:28 pm","2023-04-29 3:28 pm",29/4/2023,,,0,0,0,2500,16.29%,3429,93.23%,14000,38,Piloswine,,0,24.15%,3107,94.37%,43000,163,Mamoswine,,0,38.56%,2517,91.01%,27500,25,Swinub,,0,
241,Jolteon,,135,♂,1213,92,10,15,15,88.9,15.0,15.0,,,,"2023-04-29 9:36 am","2023-04-29 9:36 am",20/4/2023,,,0,0,0,1900,96.53%,143,97.62%,14200,14,Jolteon,,0,75.46%,1006,96.51%,112400,100,Jolteon,,0,,,,,,,,,
242,Leafeon,,470,♂,1236,90,13,15,11,86.7,15.0,15.0,,,,"2023-04-28 4:27 am","2023-04-28 4:27 am",21/4/2023,,,0,0,0,1900,56.41%,1786,95.12%,12000,12,Leafeon,,0,51.79%,1975,96.11%,101400,90,Leafeon,,0,,,,,,,,,
243,Larvitar,,246,♀,202,57,6,0,15,46.7,8.0,8.0,,,,"2023-04-28 4:26 am","2023-04-28 4:26 am",28/3/2023,,,0,0,0,800,73.06%,1104,95.47%,15600,145,Tyranitar,Normal,0,29.23%,2899,94.98%,62600,189,Tyranitar,Normal,0,72.21%,1139,94.04%,36100,40,Larvitar,,0,
244,Larvitar,,246,♂,219,53,14,9,6,64.4,8.0,8.0,,,,"2023-04-28 4:26 am","2023-04-28 4:26 am",5/4/2023,,,0,0,0,800,36.41%,2605,93.49%,14000,143,Tyranitar,Normal,0,28.89%,2913,94.96%,59100,186,Tyranitar,Normal,0,48.16%,2124,92.38%,29200,34,Larvitar,,0,
245,Larvitar,,246,♂,629,93,14,10,13,82.2,22.0,22.0,,,,"2023-04-28 4:25 am","2023-04-28 4:25 am",21/1/2023,,,0,0,0,3000,37.58%,2557,94.61%,74000,89,Pupitar,,0,36.00%,2622,95.25%,6000,131,Tyranitar,Normal,0,,,,,,,,,
246,Larvitar,,246,♀,789,104,10,15,11,80.0,28.0,28.0,,,,"2023-04-28 4:24 am","2023-04-28 4:24 am",23/4/2023,,,0,0,0,4500,58.44%,1703,95.67%,35000,55,Pupitar,,0,95.53%,184,94.59%,419000,223,Pupitar,,0,,,,,,,,,
247,Wailmer,,320,♂,1221,215,9,14,15,84.4,31.0,31.0,Splash,Body Slam,,"2023-04-23 11:31 am","2023-04-23 11:31 am",23/4/2023,,,0,0,0,6000,93.36%,273,96.92%,265000,174,Wailmer,,0,99.56%,19,99.02%,390000,574,Wailord,,0,,,,,,,,,
248,Drifblim,,426,♀,2042,239,15,15,15,100.0,30.0,30.0,Astonish,Shadow Ball,,"2023-04-18 10:15 pm","2023-04-18 10:15 pm",18/4/2023,,,0,0,0,5000,,,,,,,,,77.31%,930,95.93%,226000,182,Drifblim,,0,,,,,,,,,
249,Sawk,,539,♂,2418,140,13,9,5,60.0,34.0,34.0,Low Kick,Focus Blast,,"2023-04-18 9:46 pm","2023-03-21 2:23 pm",10/2/2023,,,0,0,0,7000,,,,,,,,,19.78%,3286,94.91%,30000,36,Sawk,,0,,,,,,,,,
250,Rayquaza,,384,,2516,144,13,13,10,80.0,23.5,23.5,Dragon Tail,Outrage,,"2023-04-18 9:45 pm","2023-03-21 2:22 pm",23/2/2023,,,0,0,0,3500,,,,,,,,,,,,,,,,,,,,,,,,,
251,Landorus,Normal,645,♂,2486,145,10,12,13,77.8,25.0,25.0,Mud Shot,Rock Slide,,"2023-04-18 9:45 pm","2023-04-18 9:45 pm",11/4/2023,,,0,0,0,4000,,,,,,,,,79.49%,841,96.98%,0,0,Landorus,Normal,0,,,,,,,,,
252,Emboar,,500,♂,2512,189,11,10,15,80.0,31.0,31.0,Low Kick,Heat Wave,,"2023-04-18 9:42 pm","2023-03-20 8:38 pm",18/1/2023,,,0,0,0,6000,,,,,,,,,,,,,,,,,,,,,,,,,
253,Munchlax,,446,♂,1030,178,10,12,13,77.8,20.0,20.0,,,,"2023-04-18 9:37 pm","2023-04-18 9:37 pm",6/4/2023,,,0,0,0,2500,63.15%,1510,95.73%,65000,58,Munchlax,,0,70.13%,1224,96.71%,56000,100,Snorlax,,0,,,,,,,,,
254,Snorlax,,143,♂,1788,204,12,11,12,77.8,20.0,20.0,,,,"2023-04-18 9:34 pm","2023-04-18 9:34 pm",10/4/2023,,,0,0,0,2500,,,,,,,,,17.68%,3372,94.22%,51500,46,Snorlax,,0,,,,,,,,,
255,Slowking,Normal,199,♂,1159,121,10,9,5,53.3,17.0,17.0,Water Gun,Blizzard,,"2023-04-17 5:54 am","2023-04-17 5:54 am",18/3/2023,,,0,0,0,2200,67.86%,1317,95.62%,24800,22,Slowking,Normal,0,33.43%,2727,95.08%,314800,260,Slowking,Normal,0,,,,,,,,,
256,Slowbro,Galarian,80,♀,1367,141,6,7,15,62.2,21.0,21.0,Confusion,Sludge Bomb,,"2023-04-17 5:53 am","2023-04-17 5:53 am",18/3/2023,,,0,0,0,3000,86.89%,538,96.94%,12000,12,Slowbro,Galarian,0,87.96%,494,97.78%,398000,244,Slowbro,Galarian,0,,,,,,,,,
257,Slowking,Normal,199,♀,2044,165,11,12,14,82.2,29.0,29.0,Water Gun,Psychic,,"2023-04-17 5:43 am","2023-04-17 5:43 am",18/3/2023,,,0,0,0,5000,,,,,,,,,96.29%,153,97.90%,160000,190,Slowking,Normal,0,,,,,,,,,
258,Slowbro,Normal,80,♂,831,102,10,14,6,66.7,12.0,12.0,Water Gun,Surf,,"2023-04-17 5:43 am","2023-03-21 2:24 pm",18/3/2023,,,0,0,0,1300,59.73%,1650,95.22%,38400,39,Slowbro,Normal,0,37.88%,2545,95.26%,297400,280,Slowbro,Normal,0,,,,,,,,,
259,Slowpoke,Normal,79,♀,711,133,13,13,11,82.2,21.0,21.0,Confusion,Water Pulse,,"2023-04-17 5:42 am","2023-04-17 5:42 am",18/3/2023,,,0,0,0,3000,48.42%,2113,94.70%,0,50,Slowbro,Normal,0,97.41%,107,98.36%,220000,294,Slowbro,Normal,0,,,,,,,,,
260,Teddiursa,,216,♂,536,82,4,14,0,40.0,16.0,16.0,,,,"2023-04-17 5:16 am","2023-04-06 8:42 pm",6/4/2023,,,0,0,0,1900,46.76%,2181,94.60%,12600,62,Ursaring,,0,86.62%,549,97.67%,147600,188,Ursaring,,0,,,,,,,,,
261,Golbat,,42,♂,1473,133,12,12,12,80.0,27.0,27.0,,,,"2023-04-17 5:05 am","2023-04-17 5:05 am",7/4/2023,,,0,0,0,4500,17.46%,3381,92.65%,0,0,Golbat,,0,89.01%,451,97.03%,140000,252,Crobat,,0,,,,,,,,,
262,Zweilous,,634,♀,1446,134,13,14,14,91.1,28.0,28.0,Dragon Breath,Dark Pulse,,"2023-04-17 5:04 am","2023-04-17 5:04 am",2/1/2023,,,0,0,0,4500,60.88%,1603,95.51%,9000,8,Zweilous,,0,99.39%,26,97.58%,419000,198,Zweilous,,0,,,,,,,,,
263,Vigoroth,,288,♀,1481,140,12,15,12,86.7,27.0,27.0,Counter,Bulldoze,Body Slam,"2023-04-17 5:02 am","2023-04-17 5:02 am",28/2/2023,,,0,0,0,4500,46.20%,2204,94.76%,0,0,Vigoroth,,0,,,,,,,,,,,,,,,,,G
264,Chesnaught,,652,♂,1495,120,9,9,3,46.7,19.0,19.0,Low Kick,Superpower,Energy Ball,"2023-04-17 4:13 am","2023-03-20 8:37 pm",7/1/2023,120.88kg,1.82m,0,0,0,2500,64.03%,1474,95.54%,0,0,Chesnaught,,0,38.07%,2537,95.56%,121000,110,Chesnaught,,0,,,,,,,,,
265,Happiny,,440,♀,210,143,15,14,15,97.8,20.0,20.0,Zen Headbutt,Psychic,,"2023-04-17 4:05 am","2023-04-09 9:22 pm",8/4/2023,,,0,0,0,2500,99.90%,5,99.30%,475000,273,Chansey,,0,28.45%,2931,94.30%,116000,181,Blissey,,0,99.90%,5,98.91%,475000,248,Happiny,,0,
266,Pangoro,,675,♂,1641,136,15,13,13,91.1,20.0,20.0,Snarl,Night Slash,,"2023-04-17 4:02 am","2023-04-17 4:02 am",3/3/2023,,,0,0,0,0,,,,,,,,,37.56%,2558,95.43%,80000,70,Pangoro,,0,,,,,,,,,
267,Pidgey,,16,♂,115,46,3,13,14,66.7,7.0,7.0,Quick Attack,Air Cutter,,"2023-04-17 1:56 am","2023-04-17 1:56 am",1/4/2023,,,0,0,0,800,97.17%,117,97.96%,83200,144,Pidgeot,Normal,0,80.12%,815,91.74%,515200,354,Pidgeot,Normal,0,95.92%,168,96.67%,110200,106,Pidgey,,0,
268,Sandslash,Alola,28,♂,1737,130,15,15,15,100.0,25.0,25.0,Metal Claw,Return,,"2023-04-17 1:34 am","2023-04-17 1:34 am",28/3/2023,,,0,2,0,3600,,,,,,,,,58.95%,1682,95.75%,212400,210,Sandslash,Alola,2,,,,,,,,,
269,Sneasel,Normal,215,♀,1132,94,10,15,12,82.2,20.0,20.0,Ice Shard,Avalanche,,"2023-04-17 1:17 am","2023-04-06 8:40 pm",2/4/2023,,,0,0,0,2500,91.77%,338,97.32%,43000,38,Sneasel,Normal,0,39.66%,2472,95.31%,70000,162,Weavile,,0,,,,,,,,,
270,Tympole,,535,♂,691,111,15,8,15,84.4,30.0,30.0,,,,"2023-04-16 12:39 pm","2023-04-16 12:39 pm",21/3/2023,,,0,0,0,5000,,,,,,,,,26.69%,3003,95.10%,140000,292,Seismitoad,,0,,,,,,,,,U
271,Zebstrika,,523,♂,912,94,12,6,8,57.8,14.0,14.0,,,,"2023-04-16 12:38 pm","2023-04-16 12:38 pm",28/1/2023,,,0,0,0,1600,62.54%,1535,95.69%,41600,40,Zebstrika,,0,26.64%,3005,94.06%,413600,272,Zebstrika,,0,,,,,,,,,
272,Vaporeon,,134,♂,2183,195,14,10,15,86.7,25.0,25.0,Water Gun,Aqua Tail,,"2023-04-16 12:36 pm","2023-04-16 12:36 pm",4/4/2023,,,0,0,0,4000,,,,,,,,,46.01%,2212,95.49%,29500,26,Vaporeon,,0,,,,,,,,,
273,Vaporeon,,134,♂,1225,145,12,14,15,91.1,14.0,14.0,,,,"2023-04-16 12:36 pm","2023-04-16 12:36 pm",4/4/2023,,,0,0,0,1600,72.55%,1125,95.93%,10800,12,Vaporeon,,0,76.00%,984,96.83%,85100,78,Vaporeon,,0,,,,,,,,,
274,Vaporeon,,134,♀,1738,172,11,15,12,84.4,20.0,20.0,Water Gun,Hydro Pump,,"2023-04-16 12:35 pm","2023-04-16 12:35 pm",5/4/2023,,,0,0,0,2500,,,,,,,,,57.66%,1735,96.01%,60500,54,Vaporeon,,0,,,,,,,,,
275,Wailmer,,320,♀,323,106,15,13,8,80.0,8.0,8.0,,,,"2023-04-16 12:34 pm","2023-04-16 12:34 pm",19/2/2023,,,0,1,0,0,13.58%,3540,92.24%,66734,488,Wailord,,1,93.89%,251,97.40%,580338,778,Wailord,,1,36.61%,2597,91.55%,9844,18,Wailmer,,1,
276,Wailmer,,320,♂,612,150,13,13,14,88.9,15.0,15.0,,,,"2023-04-16 12:34 pm","2023-04-16 12:34 pm",21/3/2023,,,0,0,0,0,75.48%,1005,95.71%,41900,439,Wailord,,0,97.02%,123,98.01%,466400,668,Wailord,,0,,,,,,,,,
277,Togekiss,,468,♂,1896,127,14,15,15,97.8,20.0,20.0,Charm,Aura Sphere,,"2023-04-16 10:37 am","2023-04-16 10:37 am",20/2/2023,,,0,0,0,0,,,,,,,,,45.01%,2253,95.35%,39000,34,Togekiss,,0,,,,,,,,,
278,Blissey,,242,♀,265,127,11,0,1,26.7,4.0,4.0,,,,"2023-04-16 10:34 am","2023-04-16 10:34 am",10/2/2023,,,0,0,0,400,12.99%,3564,92.27%,45900,52,Blissey,,0,10.23%,3677,93.19%,248400,268,Blissey,,0,62.64%,1531,93.03%,3200,6,Blissey,,0,
279,Regidrago,,895,,1665,247,11,15,14,88.9,20.0,20.0,Bite,Outrage,,"2023-04-16 10:33 am","2023-03-21 2:22 pm",11/3/2023,,,0,0,0,400,,,,,,,,,82.66%,711,97.28%,75000,66,Regidrago,,0,,,,,,,,,
280,Togekiss,,468,♂,2038,131,15,13,15,95.6,21.5,21.5,Air Slash,Aura Sphere,,"2023-04-15 7:37 pm","2023-04-15 7:37 pm",20/12/2022,,,0,0,0,0,,,,,,,,,34.02%,2703,94.92%,31000,27,Togekiss,,0,,,,,,,,,
281,Togekiss,,468,♂,2771,154,10,13,13,80.0,30.0,30.0,Charm,Aura Sphere,,"2023-04-15 7:36 pm","2023-04-15 7:36 pm",15/4/2023,,,0,0,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,
282,Togekiss,,468,♂,2782,154,4,15,10,64.4,32.0,32.0,Charm,Aura Sphere,,"2023-04-15 7:36 pm","2023-04-15 7:36 pm",15/4/2023,,,0,0,0,6000,,,,,,,,,,,,,,,,,,,,,,,,,
283,Togetic,,176,♂,1426,115,6,13,7,57.8,34.0,34.0,,,,"2023-04-15 4:31 pm","2023-04-15 4:31 pm",15/4/2023,,,0,0,0,7000,69.28%,1259,95.83%,46000,56,Togetic,,0,61.71%,1569,88.36%,352000,134,Togetic,,0,,,,,,,,,
284,Slowpoke,Galarian,79,♀,265,82,12,12,13,82.2,8.0,8.0,Confusion,Psyshock,,"2023-04-13 9:13 am","2023-04-13 9:13 am",18/3/2023,,,0,0,0,800,70.60%,1205,95.93%,49600,102,Slowbro,Galarian,0,51.53%,1986,96.12%,191600,242,Slowking,Galarian,0,20.78%,3245,90.47%,15600,20,Slowpoke,Galarian,0,
285,Slowpoke,Galarian,79,♂,656,132,10,10,14,75.6,20.0,20.0,Confusion,Surf,,"2023-04-13 9:13 am","2023-04-06 8:41 pm",6/4/2023,,,0,0,0,2500,77.34%,929,96.08%,0,50,Slowking,Galarian,0,65.64%,1408,96.69%,169000,220,Slowking,Galarian,0,,,,,,,,,
286,Regieleki,,894,,1718,126,15,15,14,97.8,21.5,21.5,Lock-On,Thunder,,"2023-04-09 9:18 pm","2023-04-09 9:18 pm",9/4/2023,,,0,0,0,3000,,,,,,,,,79.49%,841,97.07%,95000,85,Regieleki,,0,,,,,,,,,
287,Rampardos,,409,♂,1841,139,11,13,14,84.4,20.0,20.0,Zen Headbutt,Rock Slide,,"2023-04-08 10:47 am","2023-04-08 10:47 am",3/1/2023,,,0,0,0,2500,,,,,,,,,83.74%,667,96.81%,47000,42,Rampardos,,0,,,,,,,,,
288,Granbull,,210,♀,1906,153,13,9,14,80.0,27.0,27.0,Charm,Close Combat,,"2023-04-08 10:47 am","2023-04-08 10:47 am",24/3/2023,,,0,0,0,4500,,,,,,,,,40.56%,2435,95.25%,188000,206,Granbull,,0,,,,,,,,,
289,Gengar,Normal,94,,2031,112,15,12,14,91.1,25.0,25.0,Shadow Claw,Shadow Ball,,"2023-04-08 10:46 am","2023-03-23 5:20 pm",2/3/2023,,,0,0,0,4000,,,,,,,,,75.80%,992,96.67%,60000,52,Gengar,Normal,0,,,,,,,,,
290,Flareon,,136,♂,2453,128,2,15,13,66.7,30.0,30.0,Fire Spin,Overheat,,"2023-04-08 10:18 am","2023-04-08 8:38 am",31/3/2023,,,0,0,0,5000,,,,,,,,,98.56%,60,98.87%,10000,8,Flareon,,0,,,,,,,,,U
291,Ho-Oh,,250,,2682,150,12,11,11,75.6,25.0,25.0,Incinerate,Solar Beam,,"2023-04-08 8:47 am","2023-04-08 8:47 am",13/3/2023,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
292,Greninja,,658,,1432,111,15,13,15,95.6,19.0,19.0,Bubble,Aerial Ace,,"2023-04-08 8:42 am","2023-04-08 8:42 am",22/2/2023,,,0,0,0,2500,24.71%,3084,94.10%,2500,2,Greninja,,0,48.40%,2114,96.08%,158000,154,Greninja,,0,,,,,,,,,
293,Flareon,,136,♂,2353,122,11,14,11,80.0,28.0,28.0,Ember,Overheat,,"2023-04-08 8:39 am","2023-03-20 8:39 pm",1/3/2023,,,0,0,0,4500,,,,,,,,,58.41%,1704,96.30%,14000,12,Flareon,,0,,,,,,,,,
294,Qwilfish,Normal,211,♀,1383,119,2,8,13,51.1,26.0,26.0,,,,"2023-04-07 6:34 am","2023-04-07 6:34 am",30/3/2023,,,0,0,0,4000,93.11%,283,97.60%,17000,16,Qwilfish,Normal,0,53.41%,1909,87.99%,436000,214,Qwilfish,Normal,0,,,,,,,,,
295,Venusaur,Normal,3,♂,1495,121,10,10,14,75.6,20.0,20.0,Vine Whip,Sludge Bomb,Frenzy Plant,"2023-04-07 6:28 am","2023-03-23 4:02 pm",21/3/2023,83.1kg,1.77m,0,0,0,2500,79.56%,838,96.48%,0,0,Venusaur,Normal,0,59.54%,1658,96.43%,161000,160,Venusaur,Normal,0,,,,,,,,,
